timestamp_iso8601,device_id,attack_class,action,outcome
2026-06-02T21:17:46,2790615612,DDoS,DEVICE_ISOLATE,applied
2026-06-02T21:17:46,1138569265,DDoS,DEVICE_ISOLATE,applied
2026-06-02T21:17:49,3419599998,DDoS,DEVICE_ISOLATE,applied
2026-06-02T21:17:49,1931252253,DDoS,DEVICE_ISOLATE,applied
2026-06-02T21:17:49,1933302696,DDoS,DEVICE_ISOLATE,applied
2026-06-02T21:17:50,4086576213,DDoS,DEVICE_ISOLATE,applied
2026-06-02T21:17:50,2669312992,DDoS,DEVICE_ISOLATE,applied
2026-06-02T21:17:50,716170506,DDoS,DEVICE_ISOLATE,applied
2026-06-02T21:25:42,2790615612,DDoS,LOG_ONLY,applied
2026-06-02T21:25:43,1138569265,DDoS,LOG_ONLY,applied
2026-06-02T21:25:43,3419599998,DDoS,LOG_ONLY,applied
2026-06-02T21:25:44,1931252253,DDoS,LOG_ONLY,applied
2026-06-02T21:25:44,1933302696,DDoS,LOG_ONLY,applied
2026-06-02T21:25:44,4086576213,DDoS,LOG_ONLY,applied
2026-06-02T21:25:45,2669312992,DDoS,LOG_ONLY,applied
2026-06-02T21:25:45,716170506,DDoS,LOG_ONLY,applied
2026-06-02T23:42:47,2790615612,DoS,LOG_ONLY,applied
2026-06-02T23:42:48,1138569265,ICMP_Flood,LOG_ONLY,applied
2026-06-02T23:42:50,3419599998,DDoS,LOG_ONLY,applied
2026-06-02T23:42:50,1931252253,DDoS,LOG_ONLY,applied
2026-06-02T23:42:50,1933302696,DDoS,LOG_ONLY,applied
2026-06-02T23:42:50,4086576213,DDoS,LOG_ONLY,applied
2026-06-02T23:42:51,2669312992,DDoS,LOG_ONLY,applied
2026-06-02T23:44:35,2790615612,DoS,RATE_LIMIT,applied
2026-06-02T23:44:37,1138569265,ICMP_Flood,RATE_LIMIT,applied
2026-06-02T23:44:38,3419599998,DDoS,DEVICE_ISOLATE,applied
2026-06-02T23:44:38,1931252253,DDoS,DEVICE_ISOLATE,applied
2026-06-02T23:44:39,1933302696,DDoS,DEVICE_ISOLATE,applied
2026-06-02T23:44:39,4086576213,DDoS,DEVICE_ISOLATE,applied
2026-06-02T23:44:39,2669312992,DDoS,DEVICE_ISOLATE,applied
2026-06-02T23:46:08,2790615612,DoS,DEVICE_ISOLATE,applied
2026-06-02T23:46:10,1138569265,ICMP_Flood,DEVICE_ISOLATE,applied
2026-06-02T23:46:11,3419599998,DDoS,DEVICE_ISOLATE,applied
2026-06-02T23:46:11,1931252253,DDoS,DEVICE_ISOLATE,applied
2026-06-02T23:46:11,1933302696,DDoS,DEVICE_ISOLATE,applied
2026-06-02T23:46:12,4086576213,DDoS,DEVICE_ISOLATE,applied
2026-06-02T23:46:12,2669312992,DDoS,DEVICE_ISOLATE,applied
2026-06-03T00:29:21,2790615612,DoS,LOG_ONLY,applied
2026-06-03T00:29:22,1138569265,ICMP_Flood,LOG_ONLY,applied
2026-06-03T00:29:24,3419599998,DDoS,LOG_ONLY,applied
2026-06-03T00:29:24,1931252253,DDoS,LOG_ONLY,applied
2026-06-03T00:29:24,1933302696,DDoS,LOG_ONLY,applied
2026-06-03T00:29:24,4086576213,DDoS,LOG_ONLY,applied
2026-06-03T00:29:25,2669312992,DDoS,LOG_ONLY,applied
2026-06-03T00:35:09,2790615612,DoS,LOG_ONLY,applied
2026-06-03T00:35:11,1138569265,ICMP_Flood,LOG_ONLY,applied
2026-06-03T00:35:12,3419599998,DDoS,LOG_ONLY,applied
2026-06-03T00:35:12,1931252253,DDoS,LOG_ONLY,applied
2026-06-03T00:35:12,1933302696,DDoS,LOG_ONLY,applied
2026-06-03T00:35:13,4086576213,DDoS,LOG_ONLY,applied
2026-06-03T00:35:13,2669312992,DDoS,LOG_ONLY,applied
2026-06-03T09:45:16,2790615612,DoS,LOG_ONLY,applied
